STO_Nr;STO_DEU;STO_LAT;EIGNUNG;WB_VERJ_ENT;WB_PFL;BESCHREIBUNG;HOEHENVERBREITUNG;VEGETATION;VORWALDBAUMARTEN;GESGR_Nr;VERDRISK;PRIORITAET
57B;Alpenlattich-Fichtenwald mit Torfmoos, Ausb. mit Bergföhre;Homogyno-Piceetum sphagnetosum, Ausb. mit Pinus mugo;"PR: Wuchskraft sehr gering, oft tiefastig, stets feinjährig. Befahren sehr heikel. Ohne Bedeutung.
NG: Wichtige Funktion als Wasserspeicher in Einzugsgebieten von Wildbächen; mit Moospolstern und Zwergsträuchern sehr wertvoll.
NS: Meist dichte Torfmoosbestände mit hochwachsenden Heidelbeeren; Bergföhrenanteil.";"In kleinen Rotten um Stöcke, auf Moderholz und an erhöhten Stellen, meist im Trauf von Altbäumen. BFö auch im Freien.
Nur punktuelle Eingriffe nutzbringend.
Gebirgsplenterung.";Punktuelle Eingriffe zur Förderung der Verjüngung und der Rottenstruktur.;"Schwach wüchsige Fichtenwälder mit Bergföhre, mit deutlicher Rottenstruktur auf flachen Hängen sowie auf Terrassen. Unterwuchs von Heidelbeeren und Torfmoosen dominiert. 
Boden tonreich, undurchlässig, extrem sauer mit mächtiger Rohhumusauflage; meist am Rande von Hochmooren.";"hochmontan, subalpin; 1400-1700m";"A: 	Torfmoose, Gemeines Haarmützenmoos, Herzblättriges Zweiblatt, Straussenfedermoos, Rotstengelmoos
B: 	Gewelltes Wurmmoos, Gewöhnl. Alpenlattich, Wald-Schmiele
C: 	Heidelbeer";−;53, 56, 57, 60;5;
57Bl;Alpenlattich-Fichtenwald, Blockausbildung;Homogyno-Piceetum, Blockausbildung;"PR: Wuchskraft mässig, Holzernte durch Lage und Felsblöcke erschwert, deshalb unbedeutend.
NG: Meist in Steinschlagsituationen im Ablagerungsgebiet; wichtige Schutzfunktion. Ausnahme: spezielle Variante auf Karst.
NS: Relativ seltene und teilweise sehr vielseitige Sonderstandorte von hohem Wert.";"N: Neben Bu und Ta auch die Fi unter lichtem Schirm; Lichtbaumarten in Lücken.
U: Bei besonderer Schutzfunktion punktuell auflichten.";Bei besonderer Schutzfunktion punktuelle Eingriffe zur Verbesserung der Struktur.;Bergsturzgebiet oder Schutthang mit mässig wüchsigen, reinen Fichtenwäldern. Von weitreichenden Wurzeln übersponnene, meist grosse Felsblöcke. ;"obermontan, hochmontan; 1300-1600m";"SS: Schwarzes Geissblatt, Alpen-Hagrose, Vogelbeere.
KS: Heidelbeere, Tannen-Bärlapp, Eichenfarn, Ruprechtsfarn.
MS: Üppig: Hainmoos, Tamariskenmoos, Wald-Frauenhaar.";−;53, 56, 57, 60;1;
57S;Alpenlattich-Fichtenwald mit Torfmoos;Homogyno-Piceetum sphagnetosum;"PR: Wuchskraft gering, oft tiefastig, stets feinjährig. Befahren heikel, deshalb erschwerte Holzernte. Nur punktuell bedeutend.
NG: Wichtige Funktion als Wasserspeicher in Einzugsgebieten von Wildbächen; mit Moospolstern und Zwergsträuchern sehr wertvoll.
NS: Meist dichte Torfmoosbestände mit hochwachsenden Heidelbeeren.";"In kleinen Rotten um Stöcke, auf Moderholz und an erhöhten Stellen, meist im Trauf von Altbäumen. Verjüngungsgünstige Lagen sind auf den meist flachen Standorten selten. 
Nur punktuelle Eingriffe nutzbringend.
Gebirgsplenterung.";Gezielte Eingriffe zur Förderung der Verjüngung und der Rottenstruktur.;"Mässig bis schwach wüchsige Fichtenwälder mit deutlicher Rottenstruktur auf flachen Hängen sowie auf Terrassen. Unterwuchs von Heidelbeeren und Torfmoosen dominiert. 
Boden tonreich, undurchlässig, extrem sauer mit starker Rohhumusauflage.";"hochmontan, subalpin; 1400-1700m";"A: 	Torfmoose, Gemeines Haarmützenmoos, Herzblättriges Zweiblatt, Straussenfedermoos, Rotstengelmoos
B: 	Gewelltes Wurmmoos, Gewöhnl. Alpenlattich, Wald-Schmiele
C: 	Heidelbeere, Breiter Wurmfarn";−;53, 56, 57, 60;4;
57V;Alpenlattich-Fichtenwald mit Heidelbeere;Homogyno-Piceetum vaccinietosum myrtilli;"PR: Wuchskraft gering; gute Holzqualitäten, aber oft tiefastig. Insgesamt wenig Bedeutung für Holzproduktion.
NG: Gute Schutzwirkung, da meist stabile Standorte. Gute Strukturen fördern.
NS: Wenig Besonderheiten; zum Teil schöne Heidelbeerbestände.";"In kleinen Rotten um Stöcke, auf Moderholz und an erhöhten Stellen, meist im Trauf von Altbäumen oder an sonnigen Stellen.
Förderung mit Schlitzöffnungen v.a. auf wärmebegünstigten Stellen, gleichzeitig Austrocknung durch zu viel Nachmittagssonne vermeiden. Keine diffusen Öffnungen, da dies Schneedruck und Farnbestände fördert.
Gebirgsplenterung.";Gezielte Eingriffe zur Förderung der Verjüngung und der Rottenstruktur. ;"Mässig wüchsige Fichtenwälder mit deutlicher Rottenstruktur an flachen bis steilen Hängen aller Expositionen. Unterwuchs von der Heidelbeere und von Farnen dominiert. 
Boden meist deutlich podsoliert, extrem bis sehr sauer mit starker Rohhumusauflage, frischem bis feuchtem Oberboden und gut bis gehemmt durchlässigem Untergrund.
";"subalpin; 1500-1800m";"B: 	Gewöhnl. Alpenlattich, Wald-Schmiele, Preiselbeere
C: Heidelbeere, Hainmoos, Wald-Frauenhaar, Breiter Wurmfarn, Rippenfarn, Wald-Hainsimse, Tamariskenmoos";−;53, 56, 57, 60;2;
60;Typischer Hochstauden-Fichtenwald;Adenostylo-Piceetum typicum;"PR: Kein Wirtschaftswald, da Wuchskraft gering, Bestand locker, Befahren nicht möglich.
NG: Nasser, ruschanfälliger Standort. Grösstmögliche Bestockung anstreben, auch mit VBe und AE.
NS: Durch offenen Charakter und ausgeprägte Nassstandorte bedeutend.
";"Nur im Trauf von Altbäumen und auf Moderholz.  
Einzel- bis Gruppenplenterung.
";"N: Kaum notwendig; vereinzelte Eingriffe zur Förderung standfester Einzelbäume und der Rottenstruktur.
Schutzwald: Punktuelle Eingriffe bei Bedarf; Stabilität und grösstmögliche Bestockung als Hauptziele.
U: Stabile Rotten und Einzelbäume stärken; Einwuchs von VBe und AE fördern.
";"Lockere bis aufgelöste, mässig wüchsige Fichtenbestände. Die Lücken werden von üppigen Hochstaudenfluren und Seggenbeständen aufgebaut.
Boden vergleyt, aktiv.

";"hochmontan, subalpin; 1400-1700m";"SS: AE, VBe, Roter Holunder, Alpen-Hagrose, Alpen-Geissblatt. 
KS: Meist vielfältig, üppig: Grauer Alpendost, Alpen-Milchlattich, Aronstabblättriger Ampfer, Zweiblütiges Veilchen, Gelber Eisenhut, Germer. ";−;53, 56, 57, 60;4;
60*;Buntreitgras-Fichtenwald;Calamgrostio variae-Piceetum;"PR: Kein Wirtschaftswald, da meist steil und felsig-rutschig.
NG: Oberflächlich oft bewegt, aber meist mit solidem Untergrund. Häufig in Anrisslagen von Lawinen. Dauerbestockung anstreben.
NS: Durch offenen Charakter und oft kalkig-felsigen Untergrund deutlich erhöhte Vielfalt.
";"In lichtem Bestand für alle Baumarten meist reichlich. 
Einzel- bis Gruppenplenterung.
";"N: Kaum notwendig; vereinzelte Eingriffe zur Förderung standfester Einzelbäume und der Rottenstruktur.
Schutzwald: Förderung der Mischbaumarten und einer guten Struktur ist Hauptziel; punktuelle Eingriffe bei Bedarf.
U: Einförmige Fi-Bestände sind meist Einwüchse mit schlechter Struktur. Vereinzelte Verjüngungshiebe reichen aus, um Verjüngung mit Mischbaumarten und besserer Struktur einzuleiten. 
";"Lockere bis aufgelöste, mässig wüchsige Fichtenbestände mit wenigen Mischbaumarten. Die Lücken werden von Grashalden aufgebaut.
Boden flach- bis mittelgründig, basenreich, mit wechselndem Tonanteil.";"subalpin; 1600-1800m";"SS: AE, VBe, Alpen-Hagrose, Alpen-Geissblatt. 
KS: Meist vielfältig: Buntes Reitgras, Rostfarbene Segge, Berg-Flockenblume, Dreiblatt-Baldrian.
";−;53, 56, 57, 60;2;4
60*Ta;Buntreitgras-Tannen-Fichtenwald;Calamgrostio variae-Abieti-Piceetum;"PR: Kein Wirtschaftswald, da meist steil und felsig-rutschig.
NG: Oberflächlich oft bewegt, aber meist mit solidem Untergrund. Häufig in Anrisslagen für Lawinen. Dauerbestockung anstreben.
NS: Durch offenen Charakter und oft kalkig-felsigen Untergrund deutlich erhöhte Vielfalt.
";"In lichtem Bestand für alle Baumarten meist reichlich; in gleichförmigen Beständen oft gering. 
Einzel- bis Gruppenplenterung.
";"N: Kaum notwendig; vereinzelte Eingriffe zur Förderung standfester Einzelbäume und der Rottenstruktur. Ta konsequent, aber behutsam freistellen.
Schutzwald: Förderung eines grossen Baumartenspektrums mit guter Struktur; Dauerbestockung anstreben; punktuelle Eingriffe bei Bedarf.
U: Einförmige Fi-Bestände sind meist Einwüchse mit schlechter Struktur. Vereinzelte Verjüngungshiebe reichen aus, um Verjüngung mit breitem Artenspektrum und besserer Struktur einzuleiten. 
";"Lockere bis aufgelöste, mässig wüchsige Fichten-Mischwälder. Die Lücken werden oft von Grashalden aufgebaut.
Boden flach- bis mittelgründig, basenreich, mit wechselndem Tonanteil.";"obermontan, hochmontan; 1300-1600m";"SS: AE, VBe, Roter Holunder, Alpen-Hagrose, Alpen-Geissblatt. 
KS: Meist vielfältig: Buntes Reitgras, Rostfarbene Segge, Berg-Flockenblume, Dreiblatt-Baldrian.
";−;53, 56, 57, 60;2;4
62;Orchideen-Föhrenwald;Cephalanthero-Pinetum silvestris;"PR: Ohne Bedeutung.
NG: In rutschgfährdeten Lagen; unbedeutend, weil Fläche minim.
NS: Ausserordentlich seltene Sonderstandorte von höchstem Wert.
";In den sehr lichten Beständen meist problemlos.;Punktuell zur gezielten Förderung von Arten mit besonderem Lichtbedarf. ;"Lichte, oft lückige, schwachwüchsige  Waldföhrenwälder, die von MBe, Vbe und Wei begleitet werden. Artenreiche Strauch- und Krauschicht, die von Gräsern dominiert wird.
Boden lehmig, wechseltrocken.

";"submontan, untermontan; 600-1000m";"SS: Kalksträucher, Strauch-Kronwicke, Felsenmispel
KS: Pfeifengras, Buntes Reitgras, Schlaffe und Weisse Segge; Buchsblättrige Kreuzblume, Berg-Distel, Ochideen
";−;62, 65;3;2
65;Erika-Föhrenwald ;Erico-Pinetum silvestris;"PR: Ohne Bedeutung.
NG: Unbedeutend, weil Fläche minim.
NS: Ausserordentlich seltene Sonderstandorte von höchstem Wert.
";In den sehr lichten Beständen meist problemlos.;Punktuell zur gezielten Förderung von Arten mit besonderem Lichtbedarf. ;"Lichte, oft lückige, schwachwüchsige Waldföhrenwälder, die von MBe, VBe und Fi begleitet werden. Artenreiche Strauch- und Krauschicht.
Boden felsig-flachgründig.";"submontan, untermontan, obermontan; 500-1300m";"SS: Kalksträucher, Strauch-Kronwicke, Felsenmispel
KS: Buntes Reitgras, Blaugras; Schlaffe und Niedrige Segge; Erika, Buchsblättrige Kreuzblume, Berg-Distel, Hornklee";−;62, 65;1;4
67;Erika-Bergföhrenwald;Erico-Pinetum montanae;"PR: Ohne Bedeutung.
NG: Meist unbedeutend. 
NS: Ausserordentlich seltene Einheiten mit hochspezialisierten Pflanzen und Tieren.
";In den sehr lichten Beständen meist problemlos.;"In der Regel nicht nötig; nur in Ausnahmefällen punktuelle Auflichtungen. ";"Lückige, schwachwüchsige Bergföhrenwälder; Unterwuchs von Gräsern dominiert.";"obermontan, hochmontan; 1200-1500m";"SS: Sehr spärlich. 
KS: Behaarte Alpenrose, Blaugras, Erika, Berg-Distel, Kugelblume, Buntes Reitgras.

";−;"67, 69, 
70, 71";1;4
69;Steinrosen-Bergföhrenwald;Rhododendro hirsuti-Pinetum montanae;"PR: Ohne Bedeutung.
NG: Meist unbedeutend. 
NS: Ausserordentlich seltene Einheiten mit hochspezialisierten Pflanzen und Tieren.
";In den sehr lichten Beständen meist problemlos.;"In der Regel nicht nötig; nur in Ausnahmefällen punktuelle Auflichtungen. ";"Lückige, schwachwüchsige Bergföhrenwälder; Unterwuchs von Zwergsträuchern dominiert.";"hochmontan; 1400-1700m";"SS: Sehr spärlich, Zwerg-Eberesche
KS: Heidelbeere, Preiselbeere, Rauschbeere, Rostrote Alpenrose.
Behaarte Alpenrose, Blaugras, Erika, Berg-Distel, Kugelblume.


";−;"67, 69, 
70, 71";1;2
70;Alpenrosen-Bergföhrenwald;Rhododendro ferruginei-Pinetum montanae;"PR: Ohne Bedeutung.
NG: Unbedeutend. 
NS: Ausserordentlich seltene Einheiten mit hochspezialisierten Pflanzen und Tieren.";In den sehr lichten Beständen meist problemlos.;"In der Regel nicht nötig; nur in Ausnahmefällen punktuelle Auflichtungen. ";"Lückige, schwachwüchsige Bergföhrenwälder; Unterwuchs von Zwergsträuchern dominiert.";"hochmontan, subalpin; 1400-1800m";"SS: Sehr spärlich
KS: Heidelbeere, Preiselbeere, Rauschbeere, Rostrote Alpenrose
MS: Torfmoose oft deckend, daneben Rotstengelmoos
";−;"67, 69, 
70, 71";1;2
71;Torfmoos-Bergföhrenwald;Sphagno-Pinetum montanae;"PR: Ohne Bedeutung.
NG: Meist unbedeutend; wenn entwässert, dann schneller Wasserabfluss.
NS: Ausserordentlich seltene Einheit mit hochspezialisierten Pflanzen und Tieren.
";In den sehr lichten Beständen meist problemlos.;"In der Regel nicht nötig; nur in Ausnahmefällen punktuelle Auflichtungen. ";"Lückige, sehr schwachwüchsige Bergföhrenwälder; Unterwuchs von Zwergsträuchern dominiert.";"obermontan, hochmontan; 1300-1600m";"SS: Sehr spärlich
KS: Heidelbeere, Preiselbeere, Rauschbeere, Rostrote Alpenrose, Hochmoorarten
MS: Torfmoose oft deckend, daneben Rotstengelmoos
";−;"67, 69, 
70, 71";5;2
71*;Torfmoos-Bergföhrenwald mit Wacholder;Sphagno-Pinetum montanae juniperetosum communis;"PR: Ohne Bedeutung.
NG: Meist unbedeutend; wenn entwässert, dann schneller Wasserabfluss.
NS: Ausserordentlich seltene Einheit mit hochspezialisierten Pflanzen und Tieren.
";In den sehr lichten Beständen meist problemlos.;"In der Regel nicht nötig; nur in Ausnahmefällen punktuelle Auflichtungen. ";"Lückige, sehr schwachwüchsige Bergföhrenwälder; Unterwuchs von Zwergsträuchern dominiert.";"obermontan, hochmontan, subalpin; 1300-1800m";"SS: Sehr spärlich, Wachholder
KS: Heidelbeere, Preiselbeere, Rauschbeere, Rostrote Alpenrose
MS: Torfmoose oft deckend, daneben Rotstengelmoos
";−;"67, 69, 
70, 71";5;2
AV;Grünerlen-Gebüsch;Alnenion viridis;"PR: Kein Nutzholz
NG: Durch Lage in Steilhängen hoher Lagen wichtiger Bodenbefestiger.
NS: Seltene Sonderstandorte von hohem Wert.";Trotz hoher Schneelast problemlos, da AE den Schneedruck erträgt.;"In der Regel nicht nötig.
Auf weniger extremen Standorten Förderung von Mischbaumarten.";Dichte bis aufgelöste, durch Schneedruck hangabwärts 'liegende' Bestände. Im Unterwuchs und in den Lücken üppige Hochstaudenflur.;"hochmontan, subalpin; 1300-1800m";"SS: AE, vereinzelt VBe, Wei
KS: Grauer Alpendost, Alpen-Milchlattich, Blauer und Gelber Eisenhut, Zweiblütiges Veilchen, Rote Waldnelke, Rundblättriger Steinbrech, Eisenhutblättriger Hahnenfuss";−;AV;3;
